action,sample_id,split,orig_input_path,cam_0_path,cam_1_path,cam_2_path,cam_3_path,cam_4_path,cam_5_path,cam_6_path,cam_7_path
ok,ok_Set2_ (492),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (492).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (492)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (492)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (492)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (492)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (492)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (492)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (492)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (492)_cam7.npy
scissors,scissors-set2 (11),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (11).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (11)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (11)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (11)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (11)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (11)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (11)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (11)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (11)_cam7.npy
scissors,scissors-set2 (275),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (275).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (275)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (275)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (275)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (275)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (275)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (275)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (275)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (275)_cam7.npy
thumbdown,thumbdown_7469,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_7469.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_7469_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_7469_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_7469_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_7469_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_7469_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_7469_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_7469_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_7469_cam7.npy
ok,ok_Set2_ (231),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (231).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (231)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (231)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (231)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (231)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (231)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (231)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (231)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (231)_cam7.npy
ok,ok (100),train,./dataset/skeleton_final_v2/ok/ok (100).npy,./dataset/salux_multiview3d_8cam_front/ok/ok (100)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (100)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (100)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (100)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (100)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (100)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (100)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (100)_cam7.npy
thumbdown,hand-8-1895,train,./dataset/skeleton_final_v2/thumbdown/hand-8-1895.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-8-1895_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-8-1895_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-8-1895_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-8-1895_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-8-1895_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-8-1895_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-8-1895_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-8-1895_cam7.npy
scissors,scissors-set2 (264),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (264).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (264)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (264)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (264)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (264)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (264)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (264)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (264)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (264)_cam7.npy
ok,ok_5556,train,./dataset/skeleton_final_v2/ok/ok_5556.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_5556_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_5556_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_5556_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_5556_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_5556_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_5556_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_5556_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_5556_cam7.npy
thumbup,thumbup (248),train,./dataset/skeleton_final_v2/thumbup/thumbup (248).npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (248)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (248)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (248)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (248)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (248)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (248)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (248)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (248)_cam7.npy
scissors,scissors-set2 (63),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (63).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (63)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (63)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (63)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (63)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (63)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (63)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (63)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (63)_cam7.npy
paper,paper-set2 (97),train,./dataset/skeleton_final_v2/paper/paper-set2 (97).npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (97)_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (97)_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (97)_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (97)_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (97)_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (97)_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (97)_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (97)_cam7.npy
the-finger,the-finger (20),train,./dataset/skeleton_final_v2/the-finger/the-finger (20).npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (20)_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (20)_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (20)_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (20)_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (20)_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (20)_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (20)_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (20)_cam7.npy
ok,ok_2879,train,./dataset/skeleton_final_v2/ok/ok_2879.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2879_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2879_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2879_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2879_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2879_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2879_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2879_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2879_cam7.npy
scissors,scissors-set2 (627),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (627).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (627)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (627)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (627)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (627)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (627)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (627)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (627)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (627)_cam7.npy
thumbdown,thumbdown_4468,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_4468.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_4468_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_4468_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_4468_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_4468_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_4468_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_4468_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_4468_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_4468_cam7.npy
paper,paper-set2 (410),train,./dataset/skeleton_final_v2/paper/paper-set2 (410).npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (410)_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (410)_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (410)_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (410)_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (410)_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (410)_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (410)_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (410)_cam7.npy
thumbup,thumbup_8944,train,./dataset/skeleton_final_v2/thumbup/thumbup_8944.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8944_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8944_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8944_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8944_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8944_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8944_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8944_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8944_cam7.npy
rock,rock (23),train,./dataset/skeleton_final_v2/rock/rock (23).npy,./dataset/salux_multiview3d_8cam_front/rock/rock (23)_cam0.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (23)_cam1.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (23)_cam2.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (23)_cam3.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (23)_cam4.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (23)_cam5.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (23)_cam6.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (23)_cam7.npy
ok,ok (249),train,./dataset/skeleton_final_v2/ok/ok (249).npy,./dataset/salux_multiview3d_8cam_front/ok/ok (249)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (249)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (249)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (249)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (249)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (249)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (249)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok (249)_cam7.npy
ok,ok_Set2_ (517),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (517).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (517)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (517)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (517)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (517)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (517)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (517)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (517)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (517)_cam7.npy
thumbdown,thumbdown_6255,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_6255.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6255_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6255_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6255_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6255_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6255_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6255_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6255_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6255_cam7.npy
thumbdown,thumbdown (181),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (181).npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (181)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (181)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (181)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (181)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (181)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (181)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (181)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (181)_cam7.npy
ok,ok_Set2_ (405),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (405).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (405)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (405)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (405)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (405)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (405)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (405)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (405)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (405)_cam7.npy
ok,ok_2957,train,./dataset/skeleton_final_v2/ok/ok_2957.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2957_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2957_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2957_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2957_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2957_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2957_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2957_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_2957_cam7.npy
ok,ok_Set2_ (365),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (365).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (365)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (365)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (365)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (365)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (365)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (365)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (365)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (365)_cam7.npy
thumbdown,thumbdown (45),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (45).npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (45)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (45)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (45)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (45)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (45)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (45)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (45)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (45)_cam7.npy
rock,rock (245),train,./dataset/skeleton_final_v2/rock/rock (245).npy,./dataset/salux_multiview3d_8cam_front/rock/rock (245)_cam0.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (245)_cam1.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (245)_cam2.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (245)_cam3.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (245)_cam4.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (245)_cam5.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (245)_cam6.npy,./dataset/salux_multiview3d_8cam_front/rock/rock (245)_cam7.npy
the-finger,the-finger_3510,train,./dataset/skeleton_final_v2/the-finger/the-finger_3510.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_3510_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_3510_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_3510_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_3510_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_3510_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_3510_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_3510_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_3510_cam7.npy
scissors,scissors (409),train,./dataset/skeleton_final_v2/scissors/scissors (409).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (409)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (409)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (409)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (409)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (409)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (409)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (409)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (409)_cam7.npy
thumbup,thumbup_8954,train,./dataset/skeleton_final_v2/thumbup/thumbup_8954.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8954_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8954_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8954_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8954_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8954_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8954_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8954_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup_8954_cam7.npy
scissors,scissors-set2 (194),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (194).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (194)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (194)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (194)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (194)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (194)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (194)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (194)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (194)_cam7.npy
the-finger,the-finger-set2 (339),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (339).npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (339)_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (339)_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (339)_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (339)_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (339)_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (339)_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (339)_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger-set2 (339)_cam7.npy
thumbdown,hand-9-1950,train,./dataset/skeleton_final_v2/thumbdown/hand-9-1950.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-9-1950_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-9-1950_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-9-1950_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-9-1950_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-9-1950_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-9-1950_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-9-1950_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/hand-9-1950_cam7.npy
ok,ok_Set2_ (2),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (2).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (2)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (2)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (2)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (2)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (2)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (2)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (2)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (2)_cam7.npy
paper,paper_3732,train,./dataset/skeleton_final_v2/paper/paper_3732.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_3732_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_3732_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_3732_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_3732_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_3732_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_3732_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_3732_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_3732_cam7.npy
the-finger,the-finger_7086,train,./dataset/skeleton_final_v2/the-finger/the-finger_7086.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7086_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7086_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7086_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7086_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7086_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7086_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7086_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7086_cam7.npy
paper,paper (71),train,./dataset/skeleton_final_v2/paper/paper (71).npy,./dataset/salux_multiview3d_8cam_front/paper/paper (71)_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper (71)_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper (71)_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper (71)_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper (71)_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper (71)_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper (71)_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper (71)_cam7.npy
